PMWh,CapCost,OCF,Pkg,FOC
70,900,97,5.109103615,0.418744692
70,900,90,5.191818529,0.451313724
70,900,80,5.335092576,0.507727939
70,900,70,5.519302065,0.580260502
70,900,60,5.764914717,0.676970586
70,900,50,6.10877243,0.812364703
70,900,40,6.624559,1.015455879
70,900,30,7.484203283,1.353941171
70,900,20,9.203491848,2.030911757
70,900,10,14.36135754,4.061823514
70,600,97,4.775331155,0.299944413
70,600,90,4.832086049,0.323273444
70,600,80,4.930393536,0.363682624
70,600,70,5.056788877,0.415637285
70,600,60,5.225315997,0.484910166
70,600,50,5.461253966,0.581892199
70,600,40,5.81516092,0.727365249
70,600,30,6.405005842,0.969820332
70,600,20,7.584695688,1.454730498
70,600,10,11.12376522,2.909460995
70,400,97,4.554313722,0.221277248
70,400,90,4.593878209,0.238487665
70,400,80,4.662409716,0.268298623
70,400,70,4.750521654,0.306626998
70,400,60,4.868004238,0.357731498
70,400,50,5.032479855,0.429277797
70,400,40,5.27919328,0.536597246
70,400,30,5.690382323,0.715462995
70,400,20,6.512760409,1.073194493
70,400,10,8.979894665,2.146388986
70,300,97,4.443632691,0.181882334
70,300,90,4.47458877,0.196028743
70,300,80,4.528209097,0.220532336
70,300,70,4.597149518,0.252036956
70,300,60,4.689070079,0.294043115
70,300,50,4.817758864,0.352851738
70,300,40,5.010792042,0.441064673
70,300,30,5.332514005,0.58808623
70,300,20,5.975957932,0.882129345
70,300,10,7.906289712,1.764258691
50,900,97,3.955875266,0.418744692
50,900,90,4.03859018,0.451313724
50,900,80,4.181864227,0.507727939
50,900,70,4.366073717,0.580260502
50,900,60,4.611686369,0.676970586
50,900,50,4.955544082,0.812364703
50,900,40,5.471330651,1.015455879
50,900,30,6.330974934,1.353941171
50,900,20,8.050263499,2.030911757
50,900,10,13.2081292,4.061823514
50,600,97,3.622102807,0.299944413
50,600,90,3.67885764,0.323273422
50,600,80,3.77716512,0.3636826
50,600,70,3.903560451,0.415637257
50,600,60,4.072087558,0.484910134
50,600,50,4.308025509,0.58189216
50,600,40,4.661932436,0.727365201
50,600,30,5.251777314,0.969820267
50,600,20,6.431467069,1.454730401
50,600,10,9.970536334,2.909460802
50,400,97,3.401085373,0.221277248
50,400,90,3.440649962,0.238487701
50,400,80,3.509181481,0.268298664
50,400,70,3.597293435,0.306627044
50,400,60,3.714776041,0.357731552
50,400,50,3.879251688,0.429277862
50,400,40,4.12596516,0.536597327
50,400,30,4.537154278,0.715463103
50,400,20,5.359532516,1.073194655
50,400,10,7.826667228,2.14638931
50,300,97,3.290404342,0.181882334
50,300,90,3.321360406,0.196028738
50,300,80,3.374980732,0.22053233
50,300,70,3.44392115,0.252036949
50,300,60,3.535841708,0.294043107
50,300,50,3.664530488,0.352851729
50,300,40,3.85756366,0.441064661
50,300,30,4.179285612,0.588086214
50,300,20,4.822729516,0.882129321
50,300,10,6.753061228,1.764258643
30,900,97,2.802646918,0.418744692
30,900,90,2.885361832,0.451313724
30,900,80,3.028635879,0.507727939
30,900,70,3.212845368,0.580260502
30,900,60,3.45845802,0.676970586
30,900,50,3.802315733,0.812364703
30,900,40,4.318102303,1.015455879
30,900,30,5.177746585,1.353941171
30,900,20,6.897035151,2.030911757
30,900,10,12.05490085,4.061823514
30,600,97,2.468874458,0.299944413
30,600,90,2.525629291,0.323273422
30,600,80,2.623936771,0.3636826
30,600,70,2.750332102,0.415637257
30,600,60,2.91885921,0.484910134
30,600,50,3.154797161,0.58189216
30,600,40,3.508704087,0.727365201
30,600,30,4.098548965,0.969820267
30,600,20,5.27823872,1.454730401
30,600,10,8.817307985,2.909460802
30,400,97,2.247857024,0.221277248
30,400,90,2.287421613,0.238487701
30,400,80,2.355953133,0.268298664
30,400,70,2.444065087,0.306627044
30,400,60,2.561547692,0.357731552
30,400,50,2.72602334,0.429277862
30,400,40,2.972736811,0.536597327
30,400,30,3.38392593,0.715463103
30,400,20,4.206304167,1.073194655
30,400,10,6.673438879,2.14638931
30,300,97,2.137175993,0.181882334
30,300,90,2.168132058,0.196028738
30,300,80,2.221752383,0.22053233
30,300,70,2.290692801,0.252036949
30,300,60,2.382613359,0.294043107
30,300,50,2.51130214,0.352851729
30,300,40,2.704335311,0.441064661
30,300,30,3.026057263,0.588086214
30,300,20,3.669501167,0.882129321
30,300,10,5.59983288,1.764258643
20,900,97,2.226032744,0.418744692
20,900,90,2.308747657,0.451313724
20,900,80,2.452021704,0.507727939
20,900,70,2.636231194,0.580260502
20,900,60,2.881843846,0.676970586
20,900,50,3.225701559,0.812364703
20,900,40,3.741488128,1.015455879
20,900,30,4.601132411,1.353941171
20,900,20,6.320420976,2.030911757
20,900,10,11.47828667,4.061823514
20,600,97,1.892260284,0.299944413
20,600,90,1.949015117,0.323273422
20,600,80,2.047322597,0.3636826
20,600,70,2.173717928,0.415637257
20,600,60,2.342245035,0.484910134
20,600,50,2.578182987,0.58189216
20,600,40,2.932089913,0.727365201
20,600,30,3.521934791,0.969820267
20,600,20,4.701624546,1.454730401
20,600,10,8.240693811,2.909460802
20,400,97,1.67124285,0.221277248
20,400,90,1.710807439,0.238487701
20,400,80,1.779338959,0.268298664
20,400,70,1.867450913,0.306627044
20,400,60,1.984933518,0.357731552
20,400,50,2.149409165,0.429277862
20,400,40,2.396122637,0.536597327
20,400,30,2.807311755,0.715463103
20,400,20,3.629689993,1.073194655
20,400,10,6.096824705,2.14638931
20,300,97,1.560561819,0.181882334
20,300,90,1.591517883,0.196028738
20,300,80,1.645138209,0.22053233
20,300,70,1.714078627,0.252036949
20,300,60,1.805999185,0.294043107
20,300,50,1.934687965,0.352851729
20,300,40,2.127721137,0.441064661
20,300,30,2.449443089,0.588086214
20,300,20,3.092886993,0.882129321
20,300,10,5.023218705,1.764258643
10,900,97,1.649418569,0.418744692
10,900,90,1.732133483,0.451313724
10,900,80,1.87540753,0.507727939
10,900,70,2.059617019,0.580260502
10,900,60,2.305229671,0.676970586
10,900,50,2.649087384,0.812364703
10,900,40,3.164873954,1.015455879
10,900,30,4.024518237,1.353941171
10,900,20,5.743806802,2.030911757
10,900,10,10.9016725,4.061823514
10,600,97,1.315646109,0.299944413
10,600,90,1.372400943,0.323273422
10,600,80,1.470708422,0.3636826
10,600,70,1.597103753,0.415637257
10,600,60,1.765630861,0.484910134
10,600,50,2.001568812,0.58189216
10,600,40,2.355475739,0.727365201
10,600,30,2.945320616,0.969820267
10,600,20,4.125010371,1.454730401
10,600,10,7.664079636,2.909460802
10,400,97,1.094628676,0.221277248
10,400,90,1.134193264,0.238487701
10,400,80,1.202724784,0.268298664
10,400,70,1.290836738,0.306627044
10,400,60,1.408319344,0.357731552
10,400,50,1.572794991,0.429277862
10,400,40,1.819508462,0.536597327
10,400,30,2.230697581,0.715463103
10,400,20,3.053075818,1.073194655
10,400,10,5.520210531,2.14638931
10,300,97,0.983947645,0.181882334
10,300,90,1.014903709,0.196028738
10,300,80,1.068524034,0.22053233
10,300,70,1.137464453,0.252036949
10,300,60,1.22938501,0.294043107
10,300,50,1.358073791,0.352851729
10,300,40,1.551106962,0.441064661
10,300,30,1.872828914,0.588086214
10,300,20,2.516272819,0.882129321
10,300,10,4.446604531,1.764258643
1,900,97,1.130465812,0.418744692
1,900,90,1.213180726,0.451313724
1,900,80,1.356454773,0.507727939
1,900,70,1.540664262,0.580260502
1,900,60,1.786276915,0.676970586
1,900,50,2.130134628,0.812364703
1,900,40,2.645921197,1.015455879
1,900,30,3.50556548,1.353941171
1,900,20,5.224854045,2.030911757
1,900,10,10.38271974,4.061823514
1,600,97,0.796693352,0.299944413
1,600,90,0.853448186,0.323273422
1,600,80,0.951755666,0.3636826
1,600,70,1.078150996,0.415637257
1,600,60,1.246678104,0.484910134
1,600,50,1.482616055,0.58189216
1,600,40,1.836522982,0.727365201
1,600,30,2.426367859,0.969820267
1,600,20,3.606057614,1.454730401
1,600,10,7.14512688,2.909460802
1,400,97,0.575675919,0.221277248
1,400,90,0.615240508,0.238487701
1,400,80,0.683772027,0.268298664
1,400,70,0.771883981,0.306627044
1,400,60,0.889366587,0.357731552
1,400,50,1.053842234,0.429277862
1,400,40,1.300555705,0.536597327
1,400,30,1.711744824,0.715463103
1,400,20,2.534123061,1.073194655
1,400,10,5.001257774,2.14638931
1,300,97,0.464994888,0.181882334
1,300,90,0.495950952,0.196028738
1,300,80,0.549571277,0.22053233
1,300,70,0.618511696,0.252036949
1,300,60,0.710432253,0.294043107
1,300,50,0.839121034,0.352851729
1,300,40,1.032154206,0.441064661
1,300,30,1.353876158,0.588086214
1,300,20,1.997320062,0.882129321
1,300,10,3.927651774,1.764258643
